1711 documents , 1 concepts , 3654 context features (26886) 
kappaF 10.000000, kappaK 4.000000, a0 7.000000, b0 3.000000, K 10, max_docs_per_slice 2000, start -800, end 400, times 12, dT 100, I 1000


map[]

===============  per type  ===============
0.09690554417075843   T=11,K=5:  85306 (0.018) ;  (0.016) ; 45996 (0.016) ; 79223 (0.013) ; 15893 (0.013) ; 84234 (0.012) ; 112559 (0.012) ; 65313 (0.010) ; 58429 (0.010) ; 68641 (0.010) ; 
p(w|s) = sum_t P(w|t,s)  T=-1,K=5:  84234 (0.018) ; 63772 (0.016) ; 84494 (0.014) ;  (0.013) ; 45996 (0.013) ; 85306 (0.011) ; 68641 (0.011) ; 62204 (0.011) ; 72610 (0.011) ; 15893 (0.009) ; 

0.13595134974584142   T=0,K=6:  27847 (0.051) ;  (0.017) ; 61791 (0.014) ; 1397 (0.013) ; 66173 (0.012) ; 105829 (0.012) ; 26886 (0.011) ; 84234 (0.011) ; 8909 (0.010) ; 98894 (0.010) ; 
0.1561133479080391   T=1,K=6:  27847 (0.040) ;  (0.017) ; 26886 (0.015) ; 260 (0.012) ; 98894 (0.012) ; 66173 (0.012) ; 61791 (0.011) ; 1397 (0.009) ; 80011 (0.009) ; 84234 (0.009) ; 
0.11472688799219041   T=2,K=6:  1397 (0.028) ;  (0.025) ; 27847 (0.018) ; 26886 (0.012) ; 98894 (0.010) ; 63772 (0.010) ; 80011 (0.009) ; 260 (0.009) ; 66173 (0.009) ; 61791 (0.009) ; 
0.08502672344589639   T=3,K=6:   (0.019) ; 63772 (0.016) ; 1397 (0.014) ; nlsj61372 (0.013) ; 26886 (0.013) ; 27847 (0.012) ; 98894 (0.011) ; 260 (0.010) ; 46646 (0.009) ; 45996 (0.008) ; 
0.14004518530145238   T=4,K=6:  26886 (0.016) ; 1397 (0.016) ; 98894 (0.015) ; nlsj61372 (0.014) ;  (0.013) ; 84494 (0.012) ; 260 (0.012) ; 63772 (0.012) ; 27847 (0.012) ; 65552 (0.010) ; 
0.18492697333392102   T=5,K=6:  nlsj61372 (0.020) ; 84494 (0.019) ; 1397 (0.015) ; 26886 (0.013) ; 98894 (0.013) ; 63772 (0.013) ; 27847 (0.013) ;  (0.012) ; 65552 (0.012) ; 42214 (0.009) ; 
0.10318888222114705   T=6,K=6:  84494 (0.021) ; 63772 (0.019) ; 1397 (0.015) ; nlsj61372 (0.012) ; 22209 (0.011) ;  (0.011) ; 84234 (0.010) ; 26886 (0.010) ; 98894 (0.009) ; 46646 (0.009) ; 
0.1976783476904535   T=7,K=6:  nlsj61372 (0.016) ; 63772 (0.013) ; 84234 (0.012) ; 84494 (0.010) ; 27847 (0.009) ; 85306 (0.009) ; 22209 (0.009) ;  (0.009) ; 1397 (0.008) ; 65552 (0.008) ; 
0.14110731330760332   T=8,K=6:   (0.016) ; nlsj61372 (0.014) ; 85306 (0.013) ; 65552 (0.011) ; 22209 (0.010) ; 60308 (0.010) ; 45996 (0.009) ; 27847 (0.009) ; 31161 (0.009) ; 84494 (0.008) ; 
0.14450703256374953   T=9,K=6:  45996 (0.022) ;  (0.016) ; 85306 (0.015) ; 52571 (0.011) ; nlsj61372 (0.009) ; 84234 (0.009) ; 65552 (0.009) ; 22209 (0.009) ; 27847 (0.008) ; 31161 (0.007) ; 
0.1957860517041144   T=10,K=6:  45996 (0.017) ;  (0.017) ; 84234 (0.016) ; nlsj61372 (0.015) ; 65552 (0.011) ; 33819 (0.011) ; 52571 (0.010) ; 85306 (0.010) ; 60308 (0.009) ; 15133 (0.008) ; 
0.19323760123580666   T=11,K=6:   (0.021) ; nlsj61372 (0.019) ; 45996 (0.017) ; 84234 (0.011) ; 33819 (0.011) ; 31565 (0.010) ; 51368 (0.010) ; 48291 (0.010) ; 85306 (0.009) ; 15133 (0.009) ; 
p(w|s) = sum_t P(w|t,s)  T=-1,K=6:   (0.016) ; 27847 (0.016) ; nlsj61372 (0.013) ; 1397 (0.012) ; 63772 (0.010) ; 84234 (0.009) ; 26886 (0.009) ; 45996 (0.009) ; 84494 (0.009) ; 98894 (0.009) ; 

0.13740503063582174   T=0,K=7:   (0.064) ; 71308 (0.022) ; 84494 (0.020) ; 70958 (0.018) ; 22209 (0.015) ; 84234 (0.010) ; 27847 (0.010) ; 42830 (0.009) ; 43206 (0.009) ; 26447 (0.009) ; 
0.07139421645538564   T=1,K=7:   (0.070) ; 84494 (0.020) ; 71308 (0.016) ; 22209 (0.014) ; 70958 (0.013) ; 26447 (0.011) ; 27847 (0.010) ; 45996 (0.010) ; 77574 (0.009) ; 84234 (0.009) ; 
0.14178201721462969   T=2,K=7:   (0.051) ; 84494 (0.023) ; 71308 (0.015) ; 22209 (0.011) ; 1397 (0.011) ; 30790 (0.010) ; 27847 (0.010) ; 98894 (0.010) ; 84511 (0.010) ; 70958 (0.009) ; 
0.09271067769342328   T=3,K=7:   (0.037) ; 71308 (0.020) ; 22209 (0.015) ; 84494 (0.014) ; 98894 (0.014) ; 84234 (0.012) ; 45996 (0.011) ; 63772 (0.011) ; 27847 (0.011) ; nlsj76838 (0.010) ; 
0.11755357811343785   T=4,K=7:  84494 (0.023) ;  (0.018) ; 84234 (0.017) ; 1397 (0.013) ; 71308 (0.012) ; 98894 (0.011) ; nlsj76838 (0.010) ; 27847 (0.010) ; 63772 (0.010) ; 45996 (0.009) ; 
0.041794549217649704   T=5,K=7:   (0.036) ; 84494 (0.020) ; 84234 (0.017) ; 63772 (0.012) ; 1397 (0.011) ; 98894 (0.011) ; 71308 (0.010) ; 22209 (0.009) ; 84422 (0.009) ; 45996 (0.008) ; 
0.03521355453613401   T=6,K=7:   (0.021) ; 84234 (0.017) ; 84422 (0.015) ; 98894 (0.015) ; 84494 (0.013) ; 63772 (0.010) ; 1397 (0.010) ; 45996 (0.010) ; 84511 (0.009) ; 85306 (0.008) ; 
0.09032148742527442   T=7,K=7:   (0.019) ; 84234 (0.016) ; 85306 (0.012) ; 1397 (0.012) ; 84494 (0.011) ; 70958 (0.009) ; 63772 (0.009) ; 45996 (0.008) ; nlsj14967 (0.008) ; 84511 (0.008) ; 
0.09288138693513155   T=8,K=7:   (0.016) ; 84494 (0.014) ; 84234 (0.011) ; 45996 (0.011) ; 63772 (0.010) ; 72202 (0.010) ; 85306 (0.009) ; 79983 (0.008) ; 80327 (0.008) ; 1397 (0.008) ; 
0.11567233537354767   T=9,K=7:   (0.022) ; 84494 (0.018) ; 72202 (0.010) ; 84234 (0.009) ; 79983 (0.009) ; 79526 (0.009) ; 45996 (0.009) ; 47007 (0.009) ; 1397 (0.009) ; 85306 (0.008) ; 
0.08759504820369286   T=10,K=7:   (0.023) ; 84494 (0.021) ; 72202 (0.018) ; 84234 (0.012) ; 26943 (0.011) ; 98894 (0.009) ; 47007 (0.009) ; 15893 (0.009) ; 48291 (0.009) ; 42214 (0.009) ; 
0.09688975810221354   T=11,K=7:  72202 (0.027) ;  (0.026) ; 84494 (0.024) ; 45996 (0.011) ; 15893 (0.011) ; 48291 (0.010) ; 79526 (0.010) ; 1397 (0.009) ; nlsj76838 (0.009) ; 26943 (0.008) ; 
p(w|s) = sum_t P(w|t,s)  T=-1,K=7:   (0.034) ; 84494 (0.018) ; 84234 (0.012) ; 71308 (0.010) ; 98894 (0.010) ; 1397 (0.009) ; 22209 (0.009) ; 45996 (0.009) ; 72202 (0.008) ; 70958 (0.008) ; 

