12 documents , 1 concepts , 186 context features (69419) 
kappaF 10.000000, kappaK 4.000000, a0 7.000000, b0 3.000000, K 15, max_docs_per_slice 2000, start -430, end 364, times 7, dT 100, I 1000


map[]

===============  per type  ===============

4.3484196145046316e-08   T=0,K=7:  52332 (0.496) ; 41271 (0.376) ; 103637 (0.045) ; 44660 (0.035) ; 84248 (0.016) ; nlsj80958 (0.011) ; 114339 (0.005) ; 22425 (0.005) ; 114816 (0.003) ; 97252 (0.001) ; 
1.4796785956079937e-08   T=1,K=7:  52332 (0.570) ; 41271 (0.300) ; 103637 (0.056) ; 84248 (0.022) ; 44660 (0.021) ; nlsj80958 (0.011) ; 114339 (0.006) ; 22425 (0.004) ; 114816 (0.002) ; 97252 (0.001) ; 
6.798994460953513e-09   T=2,K=7:  52332 (0.709) ; 41271 (0.197) ; 103637 (0.039) ; 84248 (0.021) ; 44660 (0.011) ; nlsj80958 (0.009) ; 114339 (0.004) ; 114816 (0.002) ; 22425 (0.002) ; 22209 (0.001) ; 
1.3256698555052927e-09   T=3,K=7:  52332 (0.729) ; 41271 (0.175) ; 103637 (0.059) ; 84248 (0.009) ; 44660 (0.009) ; nlsj80958 (0.006) ; 114339 (0.004) ; 22425 (0.002) ; 114816 (0.002) ; 18331 (0.001) ; 
2.3606649105454517e-09   T=4,K=7:  52332 (0.652) ; 41271 (0.289) ; 103637 (0.026) ; 44660 (0.010) ; 114339 (0.007) ; 84248 (0.004) ; nlsj80958 (0.004) ; 22425 (0.003) ; 114816 (0.001) ; 22209 (0.001) ; 
6.262944668455981e-08   T=5,K=7:  52332 (0.587) ; 41271 (0.339) ; 103637 (0.040) ; 44660 (0.011) ; 114339 (0.006) ; 84248 (0.005) ; 22425 (0.003) ; nlsj80958 (0.002) ; 114816 (0.002) ; 22209 (0.001) ; 
1.5132722192180782e-08   T=6,K=7:  52332 (0.566) ; 41271 (0.341) ; 103637 (0.058) ; 44660 (0.015) ; 84248 (0.005) ; 114339 (0.004) ; 22425 (0.002) ; nlsj80958 (0.002) ; 114816 (0.001) ; 22209 (0.001) ; 
p(w|s) = sum_t P(w|t,s)  T=-1,K=7:  52332 (0.616) ; 41271 (0.288) ; 103637 (0.046) ; 44660 (0.016) ; 84248 (0.012) ; nlsj80958 (0.006) ; 114339 (0.005) ; 22425 (0.003) ; 114816 (0.002) ; 22209 (0.001) ; 

