213 documents , 1 concepts , 1144 context features (71976) 
kappaF 10.000000, kappaK 4.000000, a0 7.000000, b0 3.000000, K 10, max_docs_per_slice 2000, start -800, end 400, times 13, dT 100, I 3


map[]

===============  per type  ===============
0.0647534296929046   T=11,K=3:  45996 (0.016) ; 22209 (0.014) ; 102000 (0.014) ; 76912 (0.012) ; 12137 (0.012) ; 110598 (0.011) ; nlsj32160 (0.010) ; 72202 (0.009) ; 77596 (0.008) ; 11701 (0.007) ; 
0.16780334641053804   T=12,K=3:  12137 (0.028) ; 30472 (0.021) ; 110598 (0.021) ; 11701 (0.018) ; 102000 (0.015) ; 76912 (0.014) ; 45996 (0.013) ; 13626 (0.010) ; 72202 (0.010) ; nlsj32160 (0.009) ; 
p(w|s) = sum_t P(w|t,s)  T=-1,K=3:   (0.016) ; 22209 (0.009) ; 102000 (0.007) ; 110598 (0.006) ; 45996 (0.005) ; nlsj32160 (0.005) ; 12137 (0.004) ; 19381 (0.004) ; nlsj30729 (0.003) ; 30472 (0.003) ; 

0.1662911990906045   T=0,K=4:  64836 (0.006) ; 10923 (0.005) ; 75595 (0.004) ; 48436 (0.004) ; 19775 (0.004) ; 46712 (0.003) ; 102936 (0.003) ; 41335 (0.003) ; 55313 (0.003) ; 97892 (0.003) ; 
0.19931703963989536   T=1,K=4:  10923 (0.006) ; 75595 (0.005) ; 113560 (0.005) ; 64836 (0.004) ; 55313 (0.003) ; 109358 (0.003) ; 56153 (0.003) ; 14604 (0.003) ; 90410 (0.003) ; 14900 (0.003) ; 
0.15289884163267212   T=2,K=4:  14604 (0.005) ; 90410 (0.005) ; 106566 (0.005) ; 70958 (0.005) ; 113560 (0.005) ; 75595 (0.004) ; 1872 (0.004) ; 109358 (0.004) ; 107776 (0.004) ; 14900 (0.003) ; 
0.06847449498924699   T=3,K=4:  1872 (0.007) ; 72383 (0.006) ; 70958 (0.006) ; 1211 (0.005) ; 90410 (0.005) ; 75595 (0.005) ; 47887 (0.005) ; 106566 (0.005) ; 31458 (0.005) ; 83253 (0.005) ; 
0.028529614409600883   T=4,K=4:  106566 (0.010) ; 70958 (0.007) ; 31458 (0.005) ; 1872 (0.005) ; 93388 (0.005) ; 47887 (0.005) ; 31351 (0.004) ; 1211 (0.004) ; 75595 (0.004) ; 26196 (0.004) ; 
0.030599664455199602   T=5,K=4:  106566 (0.006) ; 47887 (0.004) ; 1872 (0.004) ; 26196 (0.004) ; 90410 (0.003) ; 104701 (0.003) ; 31458 (0.003) ; 28569 (0.003) ; 30434 (0.003) ; 110639 (0.003) ; 
0.013421528014747814   T=6,K=4:  77592 (0.006) ; 83665 (0.005) ; 110639 (0.004) ; 45996 (0.004) ; 19381 (0.004) ; 28569 (0.004) ; 45454 (0.003) ; 106566 (0.003) ; 84920 (0.003) ; 22209 (0.003) ; 
0.02350634655171896   T=7,K=4:  110639 (0.010) ; 15893 (0.010) ; 45996 (0.007) ; 45454 (0.006) ; 104429 (0.005) ; 28569 (0.005) ; 83665 (0.005) ; 77592 (0.004) ; 113163 (0.004) ; 65552 (0.004) ; 
0.04263214793392579   T=8,K=4:  110639 (0.015) ; 15893 (0.015) ; 65552 (0.008) ; 45996 (0.008) ; 61787 (0.007) ; nlsj11198 (0.007) ; 112833 (0.006) ; 110114 (0.006) ; 113163 (0.006) ; 83665 (0.006) ; 
0.045244952367562985   T=9,K=4:  45996 (0.016) ; 110639 (0.015) ; 65552 (0.010) ; 112165 (0.006) ; 110114 (0.006) ; 81158 (0.005) ; 4385 (0.005) ; 42827 (0.005) ; 72627 (0.005) ;  (0.005) ; 
0.05939697142608339   T=10,K=4:  45996 (0.013) ; 65552 (0.013) ; 110639 (0.012) ; 31236 (0.009) ; 110598 (0.007) ; nlsj65911 (0.007) ; 98735 (0.006) ; 72627 (0.005) ; 108536 (0.005) ; 115887 (0.005) ; 
0.007005841714870006   T=11,K=4:  84068 (0.012) ; 10839 (0.011) ; 22292 (0.010) ; 65615 (0.010) ; 70364 (0.010) ; 110639 (0.008) ; 65552 (0.008) ; 98735 (0.008) ; nlsj65911 (0.006) ; 45996 (0.006) ; 
0.0021991853063244226   T=12,K=4:  65615 (0.019) ; 70364 (0.019) ; 84068 (0.014) ; 22292 (0.013) ; 86083 (0.011) ; 4385 (0.009) ; 10839 (0.009) ; 110639 (0.009) ; 110598 (0.008) ; 98735 (0.008) ; 
p(w|s) = sum_t P(w|t,s)  T=-1,K=4:  110639 (0.006) ; 45996 (0.005) ; 65552 (0.004) ; 15893 (0.004) ; 70364 (0.003) ; 65615 (0.003) ; 84068 (0.003) ; 106566 (0.003) ; nlsj65911 (0.003) ; 4385 (0.003) ; 

0.023312699501597096   T=0,K=5:  24856 (0.003) ; 73492 (0.003) ; 104690 (0.002) ; 6661 (0.002) ; 92384 (0.002) ; 31417 (0.002) ; 112720 (0.002) ; 9082 (0.002) ; 41498 (0.002) ; 31945 (0.002) ; 
0.08910736169801112   T=1,K=5:  101711 (0.003) ; 73492 (0.003) ; 31417 (0.003) ; 115067 (0.002) ; 36245 (0.002) ; 50284 (0.002) ; 24856 (0.002) ; nlsj30855 (0.002) ; 59794 (0.002) ; 20674 (0.002) ; 
0.05901530634509957   T=2,K=5:  101711 (0.005) ; 83139 (0.004) ; 45996 (0.004) ; 67762 (0.003) ; 45936 (0.003) ; 42827 (0.003) ; 10923 (0.003) ; 65552 (0.003) ; 54217 (0.003) ; 110598 (0.003) ; 
0.11161438193545602   T=3,K=5:  83139 (0.010) ; 101711 (0.005) ; 65552 (0.005) ; 67762 (0.005) ; 42827 (0.005) ; 27650 (0.005) ; 110598 (0.004) ; 45996 (0.004) ; 102000 (0.004) ; 1665 (0.003) ; 
0.0906252332635372   T=4,K=5:  21765 (0.008) ; 112989 (0.008) ; 83139 (0.006) ; 65552 (0.006) ; 45996 (0.006) ; 101711 (0.005) ; 67762 (0.005) ; 45936 (0.005) ; 42827 (0.005) ; 27650 (0.005) ; 
0.05894889447260616   T=5,K=5:  102000 (0.006) ; 65552 (0.006) ; 22209 (0.005) ; 27650 (0.004) ; 47845 (0.004) ; 21765 (0.003) ; 12534 (0.003) ; 42827 (0.003) ; 1665 (0.003) ; 112989 (0.003) ; 
0.03193884506627637   T=6,K=5:  102000 (0.009) ; 65552 (0.008) ; 22209 (0.006) ; 57460 (0.006) ; 83825 (0.006) ; 48051 (0.005) ; 116416 (0.005) ; 108030 (0.004) ; 65565 (0.004) ; 64866 (0.004) ; 
0.05576884273223759   T=7,K=5:  102000 (0.013) ; 65565 (0.009) ; 28569 (0.008) ; 65552 (0.007) ; 108030 (0.006) ; 22209 (0.006) ; 43977 (0.006) ; 83825 (0.006) ; 17453 (0.006) ; 57460 (0.005) ; 
0.05971108873836078   T=8,K=5:  102000 (0.017) ; 65565 (0.012) ; 65552 (0.010) ; 83825 (0.007) ; 84234 (0.007) ; 28569 (0.007) ; 22818 (0.006) ; 17453 (0.006) ; 47735 (0.006) ; 22209 (0.005) ; 
0.1141444773626154   T=9,K=5:  65565 (0.015) ; 102000 (0.011) ; 67762 (0.010) ; 45996 (0.009) ; 22209 (0.008) ; 65552 (0.008) ; 28569 (0.007) ; 103745 (0.007) ; 84234 (0.007) ; 83825 (0.006) ; 
0.13616583469297816   T=10,K=5:  67762 (0.020) ; 102000 (0.014) ; 45996 (0.013) ; 22209 (0.009) ; 102016 (0.009) ; 66294 (0.009) ; 71976 (0.009) ; 65565 (0.008) ; 4378 (0.007) ; 22100 (0.007) ; 
0.070493818390062   T=11,K=5:  45996 (0.021) ; 67762 (0.012) ; nlsj11308 (0.010) ; 4378 (0.010) ; 102000 (0.010) ; 24109 (0.009) ; 110272 (0.009) ; 28569 (0.008) ; 65565 (0.008) ; 22209 (0.008) ; 
0.023279319129123024   T=12,K=5:  24109 (0.035) ; 45996 (0.033) ; 90761 (0.032) ; nlsj11308 (0.022) ; 28569 (0.010) ; 110272 (0.009) ; 31945 (0.009) ; 66294 (0.007) ; 86184 (0.007) ; 67427 (0.007) ; 
p(w|s) = sum_t P(w|t,s)  T=-1,K=5:  45996 (0.008) ; 102000 (0.008) ; 67762 (0.006) ; 65565 (0.005) ; 65552 (0.005) ; 22209 (0.005) ; 28569 (0.004) ; 24109 (0.004) ; 90761 (0.004) ; 66294 (0.003) ; 

0.11032496760134765   T=0,K=6:  43206 (0.004) ; 86188 (0.004) ; 66746 (0.003) ; 105829 (0.003) ; 50689 (0.003) ; nlsj727 (0.003) ; 2392 (0.003) ; 19381 (0.003) ; 72550 (0.003) ; 75595 (0.003) ; 
0.13433148072117407   T=1,K=6:  98811 (0.005) ; 43206 (0.005) ; 14604 (0.004) ; nlsj727 (0.003) ; 75595 (0.003) ; 109358 (0.003) ; 56393 (0.003) ; 72383 (0.003) ; 72627 (0.003) ; 56153 (0.002) ; 
0.1286344924881968   T=2,K=6:  43206 (0.008) ; 14604 (0.006) ; 90410 (0.005) ; 65552 (0.005) ; 75595 (0.005) ; 55313 (0.004) ; 31236 (0.004) ; 64836 (0.004) ; 14023 (0.004) ; 56153 (0.003) ; 
0.11674711463751045   T=3,K=6:  90410 (0.010) ; 64836 (0.009) ; 14604 (0.008) ; 31236 (0.008) ; 43206 (0.007) ;  (0.006) ; 75595 (0.006) ; 22209 (0.005) ; 10923 (0.005) ; 65552 (0.005) ; 
0.07818578563528886   T=4,K=6:   (0.012) ; 31236 (0.007) ; 90410 (0.006) ; 22209 (0.004) ; 64836 (0.004) ; 65552 (0.004) ; 14023 (0.004) ; 25883 (0.003) ; 75595 (0.003) ; 14604 (0.003) ; 
0.07201029466237878   T=5,K=6:   (0.013) ; 22209 (0.005) ; 90410 (0.003) ; 4845 (0.003) ; 65552 (0.003) ; 1867 (0.003) ; 31236 (0.003) ; 42611 (0.003) ; 59339 (0.003) ; 14023 (0.003) ; 
