2055 documents , 1 concepts , 4683 context features (115193) 
kappaF 10.000000, kappaK 4.000000, a0 7.000000, b0 3.000000, K 15, max_docs_per_slice 2000, start -800, end 400, times 13, dT 100, I 1000


map[]

===============  per type  ===============
0.055452807229754   T=8,K=6:  26447 (0.019) ; 45996 (0.015) ; 84234 (0.015) ; 84494 (0.009) ; 76703 (0.009) ; 22209 (0.009) ; 63300 (0.009) ; nlsj7746 (0.008) ; 90504 (0.008) ; 63772 (0.007) ; 
0.07392846228531047   T=9,K=6:  22209 (0.013) ; 45996 (0.013) ; 26447 (0.012) ; 84234 (0.011) ; 63300 (0.010) ; 90504 (0.010) ; 59708 (0.009) ; 76703 (0.009) ; 18390 (0.009) ; 22825 (0.008) ; 
0.05197291944612229   T=10,K=6:  26447 (0.015) ; 45996 (0.013) ; 22209 (0.012) ; 59708 (0.009) ; 90504 (0.009) ; 22825 (0.009) ; 84511 (0.008) ; 84234 (0.008) ; 79526 (0.008) ; 103922 (0.008) ; 
0.06482025732598448   T=11,K=6:  26447 (0.023) ; 45996 (0.014) ; 90504 (0.011) ; 18390 (0.010) ; 22825 (0.010) ; 22209 (0.009) ; 59708 (0.009) ; 34487 (0.009) ; 1083 (0.009) ; 114548 (0.008) ; 
0.11858427344770392   T=12,K=6:  18390 (0.017) ; 26447 (0.016) ; 45996 (0.013) ; 19550 (0.010) ; 90504 (0.009) ; 13831 (0.009) ; 61265 (0.009) ; 18980 (0.009) ; 102000 (0.008) ; 62204 (0.008) ; 
p(w|s) = sum_t P(w|t,s)  T=-1,K=6:  26447 (0.015) ; 45996 (0.013) ; 33956 (0.011) ; 18390 (0.009) ; 84234 (0.009) ; 115193 (0.009) ; 109757 (0.008) ; 33160 (0.008) ; 90504 (0.008) ; 63300 (0.008) ; 

0.009441734883264321   T=0,K=7:  22209 (0.054) ; 51647 (0.022) ; 63772 (0.021) ; 524 (0.020) ; 20600 (0.018) ; 8909 (0.016) ; 84234 (0.014) ; 29883 (0.013) ; 57887 (0.012) ; 10923 (0.010) ; 
0.006675736117145329   T=1,K=7:  22209 (0.039) ; 524 (0.024) ; 51647 (0.018) ; 63772 (0.017) ; 20600 (0.017) ; 8909 (0.012) ; 34276 (0.011) ; 11760 (0.010) ; 84234 (0.010) ; 57887 (0.010) ; 
0.006465355596012665   T=2,K=7:  22209 (0.033) ; 524 (0.021) ; 51647 (0.020) ; 8909 (0.013) ; 11760 (0.012) ; 20600 (0.011) ; 63772 (0.011) ; 34276 (0.010) ; 31236 (0.010) ; 42078 (0.009) ; 
