2299 documents , 1 concepts , 4352 context features (86219) 
kappaF 10.000000, kappaK 4.000000, a0 7.000000, b0 3.000000, K 15, max_docs_per_slice 2000, start -800, end 400, times 13, dT 100, I 1000


map[]

===============  per type  ===============
0.05131884197474614   T=4,K=4:  86219 (0.039) ; 22209 (0.024) ; 62204 (0.013) ; 52332 (0.013) ; 68641 (0.013) ; 72627 (0.011) ; 20621 (0.010) ; nlsj40132 (0.010) ; 43206 (0.009) ; 1564 (0.009) ; 
0.0237305606595179   T=5,K=4:  86219 (0.027) ; 62204 (0.023) ; 22209 (0.020) ; 68641 (0.015) ; 72610 (0.013) ; 72254 (0.011) ; 65552 (0.011) ; 55910 (0.011) ; 72627 (0.010) ; 20621 (0.010) ; 
0.025101726658707902   T=6,K=4:  86219 (0.025) ; 22209 (0.018) ; 62204 (0.017) ; 20621 (0.014) ; 65552 (0.014) ; 68641 (0.014) ; 86184 (0.011) ; 72254 (0.011) ; 72610 (0.011) ; 43206 (0.009) ; 
0.05840403516406577   T=7,K=4:  22209 (0.019) ; 62204 (0.018) ; 86219 (0.015) ; 86184 (0.012) ; 43206 (0.012) ; 65552 (0.011) ; 20621 (0.011) ; 68641 (0.011) ; 45996 (0.011) ; 55910 (0.010) ; 
0.06518947098405903   T=8,K=4:  62204 (0.021) ; 22209 (0.018) ; 43206 (0.014) ; 55910 (0.014) ; 45996 (0.013) ; 86219 (0.010) ; 20621 (0.010) ; 72610 (0.010) ; 68641 (0.010) ; 43309 (0.009) ; 
0.05680376139644877   T=9,K=4:  62204 (0.018) ; 22209 (0.015) ; 43309 (0.014) ; 37210 (0.014) ; 45996 (0.013) ; 55910 (0.012) ; 72610 (0.011) ; 43206 (0.011) ; 27847 (0.010) ; 72627 (0.010) ; 
0.03782965166456625   T=10,K=4:  62204 (0.017) ; 48291 (0.015) ; 45996 (0.014) ; 22209 (0.014) ; 72610 (0.013) ; 43206 (0.012) ; 65552 (0.012) ; 68641 (0.012) ; 72627 (0.012) ; 43309 (0.011) ; 
0.07500396535163008   T=11,K=4:  62204 (0.027) ; 43206 (0.017) ; 21920 (0.016) ; 72627 (0.014) ; 72610 (0.014) ; 22209 (0.013) ; 65552 (0.013) ; 45996 (0.012) ; 43309 (0.011) ; 48291 (0.011) ; 
0.02834363840064302   T=12,K=4:  62204 (0.022) ; 48291 (0.020) ; 72610 (0.019) ; 21920 (0.019) ; 65552 (0.015) ; 68641 (0.015) ; 27847 (0.011) ; 84494 (0.011) ; 43206 (0.010) ; 43309 (0.010) ; 
p(w|s) = sum_t P(w|t,s)  T=-1,K=4:  86219 (0.029) ; 62204 (0.019) ; 22209 (0.018) ; 43309 (0.011) ; 72610 (0.011) ; 43206 (0.011) ; 20621 (0.010) ; 45996 (0.010) ; 65552 (0.010) ; 68641 (0.010) ; 
