262 documents , 1 concepts , 1424 context features (93711) 
kappaF 10.000000, kappaK 4.000000, a0 7.000000, b0 3.000000, K 10, max_docs_per_slice 2000, start -800, end 400, times 12, dT 100, I 1000


map[]

===============  per type  ===============
0.3684535964756208   T=0,K=6:  87610 (0.043) ; 29828 (0.038) ; 17825 (0.028) ; 48291 (0.025) ; 19722 (0.023) ; 31236 (0.019) ; 8665 (0.017) ; 49955 (0.017) ; 102811 (0.016) ; 90524 (0.015) ; 
0.078439428215966   T=1,K=6:  87610 (0.042) ; 17825 (0.026) ; 19722 (0.025) ; 48291 (0.024) ; 29828 (0.024) ; 49955 (0.018) ; 75909 (0.017) ; 51241 (0.016) ; 102811 (0.015) ; 90524 (0.015) ; 
0.005916544922366278   T=2,K=6:  29828 (0.032) ; 8665 (0.030) ; 17825 (0.027) ; 48291 (0.025) ; 19722 (0.023) ; 49955 (0.020) ; 31236 (0.019) ; 87610 (0.018) ; nlsj80617 (0.017) ; 75909 (0.016) ; 
0.02495424506577573   T=3,K=6:  17825 (0.030) ; 29828 (0.025) ; 19722 (0.023) ; 31236 (0.022) ; 49955 (0.021) ; 8665 (0.019) ; nlsj61372 (0.019) ; 90524 (0.017) ; 66294 (0.016) ; 85306 (0.016) ; 
0.19712442293665466   T=4,K=6:  nlsj61372 (0.031) ; 17825 (0.024) ; 49955 (0.021) ;  (0.018) ; 8665 (0.018) ; 23069 (0.017) ; 45996 (0.016) ; 31236 (0.016) ; 48291 (0.016) ; 84494 (0.015) ; 
0.19780990543991608   T=5,K=6:  nlsj61372 (0.025) ; 8665 (0.023) ; 49955 (0.023) ; 17825 (0.021) ; 45996 (0.021) ; 90524 (0.019) ; 1564 (0.019) ; 110987 (0.018) ;  (0.017) ; 23069 (0.017) ; 
0.02503784916153845   T=6,K=6:  8665 (0.029) ; 49955 (0.024) ; nlsj61372 (0.024) ;  (0.022) ; 112833 (0.022) ; 17825 (0.019) ; 66294 (0.016) ; 23069 (0.016) ; nlsj39496 (0.016) ; 45996 (0.015) ; 
0.16339469832903716   T=7,K=6:  8665 (0.034) ; nlsj61372 (0.027) ;  (0.025) ; 45996 (0.021) ; 23069 (0.018) ; 112833 (0.018) ; nlsj80617 (0.016) ; nlsj39496 (0.016) ; 84494 (0.015) ; 49955 (0.015) ; 
0.07096655084236143   T=8,K=6:  8665 (0.026) ; 31236 (0.024) ; 45996 (0.023) ; nlsj61372 (0.021) ; 61856 (0.019) ; 23069 (0.019) ;  (0.018) ; nlsj39496 (0.017) ; 84494 (0.014) ; 48291 (0.014) ; 
0.23308387728256222   T=9,K=6:  31236 (0.026) ; nlsj61372 (0.022) ; 45996 (0.022) ; 8665 (0.020) ; 61856 (0.019) ; 84494 (0.018) ; 23069 (0.017) ; 48291 (0.017) ; nlsj9017 (0.016) ; 65083 (0.015) ; 
0.0805150311137933   T=10,K=6:  45996 (0.038) ; nlsj61372 (0.025) ; 49955 (0.022) ; 31236 (0.021) ; 65083 (0.019) ; 23069 (0.017) ; nlsj80617 (0.016) ; 112833 (0.015) ; 66294 (0.014) ; 15842 (0.014) ; 
0.062061231697638164   T=11,K=6:  45996 (0.042) ; 112833 (0.025) ; nlsj61372 (0.024) ; 15842 (0.022) ; 31236 (0.022) ; 48291 (0.020) ; 23069 (0.020) ; 49955 (0.018) ; 66294 (0.017) ; nlsj80617 (0.015) ; 
p(w|s) = sum_t P(w|t,s)  T=-1,K=6:  8665 (0.021) ; 45996 (0.021) ; nlsj61372 (0.020) ; 49955 (0.018) ; 31236 (0.018) ; 17825 (0.017) ; 29828 (0.017) ; 48291 (0.016) ; 23069 (0.016) ; 87610 (0.015) ; 

0.007295047272663629   T=0,K=7:  116416 (0.045) ; 74735 (0.027) ; nlsj68228 (0.019) ; 67853 (0.018) ; 50085 (0.017) ; 80011 (0.016) ; 43309 (0.016) ; 46613 (0.016) ; 86112 (0.016) ; nlsj11198 (0.015) ; 
0.016433407925300073   T=1,K=7:  116416 (0.041) ; 45996 (0.024) ; 86112 (0.019) ; nlsj68228 (0.019) ; 67853 (0.017) ; 19972 (0.017) ; 65552 (0.017) ; nlsj11198 (0.016) ; 74735 (0.014) ; 46613 (0.014) ; 
