1751 documents , 1 concepts , 4413 context features (70958) 
kappaF 10.000000, kappaK 4.000000, a0 7.000000, b0 3.000000, K 10, max_docs_per_slice 2000, start -800, end 400, times 12, dT 100, I 1000


map[]

===============  per type  ===============
0.11591691680092268   T=9,K=6:  22209 (0.021) ; 90504 (0.017) ;  (0.017) ; 48291 (0.012) ; nlsj32160 (0.012) ; 75552 (0.011) ; 65552 (0.011) ; 104429 (0.009) ; 64866 (0.008) ; 52571 (0.007) ; 
0.07700058719577382   T=10,K=6:  22209 (0.035) ; 65552 (0.012) ; nlsj32160 (0.011) ; 90504 (0.011) ; 64866 (0.009) ; 48291 (0.009) ; 76029 (0.008) ; 92373 (0.008) ; 21872 (0.007) ; 52571 (0.007) ; 
0.06600141178418514   T=11,K=6:  22209 (0.025) ; 90504 (0.013) ; nlsj32160 (0.013) ; 92373 (0.011) ; 70839 (0.010) ; 48291 (0.009) ; 65552 (0.009) ; 64866 (0.009) ; 76029 (0.009) ; 76910 (0.007) ; 
p(w|s) = sum_t P(w|t,s)  T=-1,K=6:  22209 (0.025) ; nlsj32160 (0.017) ; 65552 (0.016) ; 90504 (0.015) ; 104429 (0.013) ; 75552 (0.013) ; 110639 (0.011) ; 16052 (0.011) ; 64866 (0.009) ; 17381 (0.009) ; 

0.07622634778292912   T=0,K=7:  63772 (0.020) ; 22209 (0.020) ;  (0.016) ; 65552 (0.014) ; 116470 (0.013) ; 46858 (0.010) ; 84494 (0.010) ; 45996 (0.009) ; 84234 (0.009) ; 8665 (0.009) ; 
0.13086939124059901   T=1,K=7:  22209 (0.027) ;  (0.020) ; 63772 (0.015) ; 45996 (0.013) ; 65552 (0.011) ; 101655 (0.010) ; 84234 (0.009) ; 84494 (0.008) ; 116470 (0.008) ; nlsj553 (0.007) ; 
0.26493388391218214   T=2,K=7:  22209 (0.019) ;  (0.016) ; 45996 (0.014) ; 63772 (0.011) ; 11058 (0.010) ; 8665 (0.008) ; 41335 (0.008) ; nlsj2565 (0.007) ; 65552 (0.007) ; 8909 (0.007) ; 
0.29498530859039934   T=3,K=7:   (0.017) ; 63772 (0.012) ; 22209 (0.011) ; 26886 (0.010) ; 45996 (0.010) ; 33819 (0.010) ; 8909 (0.009) ; 41335 (0.009) ; 84234 (0.009) ; 65552 (0.009) ; 
0.13441525541021807   T=4,K=7:   (0.014) ; 22209 (0.013) ; 65552 (0.011) ; 8665 (0.010) ; 45996 (0.009) ; 64866 (0.009) ; 4845 (0.008) ; 63772 (0.008) ; 33819 (0.007) ; 31161 (0.007) ; 
0.10549469806728899   T=5,K=7:   (0.019) ; 65552 (0.015) ; 22209 (0.014) ; 45996 (0.013) ; 64866 (0.011) ; 63772 (0.010) ; 57457 (0.010) ; 8665 (0.009) ; 46858 (0.009) ; 12973 (0.008) ; 
0.057251676028315004   T=6,K=7:  45996 (0.016) ; 64866 (0.015) ;  (0.013) ; 8665 (0.012) ; 22209 (0.011) ; 65552 (0.010) ; 46858 (0.009) ; 33819 (0.009) ; 19546 (0.009) ; 20046 (0.008) ; 
0.06066633022346639   T=7,K=7:  22209 (0.014) ; 45996 (0.013) ;  (0.012) ; 65552 (0.010) ; 48291 (0.009) ; 64866 (0.009) ; 46646 (0.009) ; 19546 (0.008) ; 72627 (0.008) ; 46858 (0.008) ; 
0.026691564531264807   T=8,K=7:  45996 (0.020) ;  (0.016) ; 22209 (0.013) ; 65552 (0.011) ; 8665 (0.011) ; 21920 (0.008) ; 84234 (0.008) ; 64866 (0.008) ; 19546 (0.007) ; 84494 (0.007) ; 
0.09164561423086216   T=9,K=7:  22209 (0.022) ;  (0.018) ; 45996 (0.017) ; 65552 (0.012) ; 8665 (0.011) ; 52048 (0.011) ; 19546 (0.010) ; 21920 (0.009) ; 76703 (0.008) ; 43206 (0.008) ; 
0.09114787089441084   T=10,K=7:  22209 (0.022) ; 21920 (0.017) ; 45996 (0.012) ;  (0.012) ; 52048 (0.012) ; 65552 (0.012) ; 19546 (0.010) ; 76703 (0.010) ; 72202 (0.009) ; 90504 (0.008) ; 
0.06664578156848841   T=11,K=7:  22209 (0.026) ; 76703 (0.014) ; 84234 (0.013) ; 21920 (0.012) ; 102096 (0.011) ; 45996 (0.011) ; 52048 (0.010) ; 19546 (0.010) ; 50236 (0.010) ; 72202 (0.009) ; 
p(w|s) = sum_t P(w|t,s)  T=-1,K=7:  22209 (0.018) ;  (0.015) ; 45996 (0.013) ; 65552 (0.011) ; 8665 (0.009) ; 63772 (0.008) ; 64866 (0.008) ; 84234 (0.007) ; 19546 (0.007) ; 46858 (0.006) ; 

